"sx","rk","yr","dg","yd","sl"
"Male",3,25,1,35,36350
"Male",3,13,1,22,35350
"Male",3,10,1,23,28200
"Female",3,7,1,27,26775
"Male",3,19,0,30,33696
"Male",3,16,1,21,28516
"Female",3,0,0,32,24900
"Male",3,16,1,18,31909
"Male",3,13,0,30,31850
"Male",3,13,0,31,32850
"Male",3,12,1,22,27025
"Male",2,15,1,19,24750
"Male",3,9,1,17,28200
"Male",2,9,0,27,23712
"Male",3,9,1,24,25748
"Male",3,7,1,15,29342
"Male",3,13,1,20,31114
"Male",2,11,0,14,24742
"Male",2,10,0,15,22906
"Male",3,6,0,21,24450
"Male",1,16,0,23,19175
"Male",2,8,0,31,20525
"Male",3,7,1,13,27959
"Female",3,8,1,24,38045
"Male",2,9,1,12,24832
"Male",3,5,1,18,25400
"Male",2,11,1,14,24800
"Female",3,5,1,16,25500
"Male",2,3,0,7,26182
"Male",2,3,0,17,23725
"Female",1,10,0,15,21600
"Male",2,11,0,31,23300
"Male",1,9,0,14,23713
"Female",2,4,0,33,20690
"Female",2,6,0,29,22450
"Male",2,1,1,9,20850
"Female",1,8,1,14,18304
"Male",1,4,1,4,17095
"Male",1,4,1,5,16700
"Male",1,4,1,4,17600
"Male",1,3,1,4,18075
"Male",1,3,0,11,18000
"Male",2,0,1,7,20999
"Female",1,3,1,3,17250
"Male",1,2,1,3,16500
"Male",1,2,1,1,16094
"Female",1,2,1,6,16150
"Female",1,2,1,2,15350
"Male",1,1,1,1,16244
"Female",1,1,1,1,16686
"Female",1,1,1,1,15000
"Female",1,0,1,2,20300
